GROUP,PARAMETER,DEFINITION,VALUE,UNITS,CAL_MIN,CAL_MAX
SoilParameter,MAX_PERC_RATE,GRAVEL_PIT_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,GRAVEL_PIT_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,GRAVEL_PIT_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,DIKE_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,DIKE_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,DIKE_C,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,CUT_FILL_A,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,CUT_FILL_B,_DEFAULT,mm_per_d,,
SoilParameter,MAX_PERC_RATE,CUT_FILL_C,_DEFAULT,mm_per_d,,
SoilParameter,PERC_COEFF,[DEFAULT],1.808939,1/d,0,10
SoilParameter,PERC_COEFF,SIL-mod-shallow_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SIL-mod-shallow_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SIL-mod-shallow_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-mod-shallow_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-mod-shallow_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-mod-shallow_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-high-shallow_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-high-shallow_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-high-shallow_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-high-medium_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-high-medium_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-high-medium_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SIL-high-shallow_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SIL-high-shallow_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SIL-high-shallow_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-low-medium_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-low-medium_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-low-medium_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-mod-medium_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-mod-medium_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-mod-medium_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SIL-mod-medium_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SIL-mod-medium_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SIL-mod-medium_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,CLA-mod-shallow_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,CLA-mod-shallow_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,CLA-mod-shallow_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SIL-low-shallow_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SIL-low-shallow_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SIL-low-shallow_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-low-shallow_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-low-shallow_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-low-shallow_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,URBAN_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,URBAN_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,URBAN_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SIL-low-medium_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SIL-low-medium_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SIL-low-medium_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-high-deep_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-high-deep_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-high-deep_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-mod-deep_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-mod-deep_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-mod-deep_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SIL-high-medium_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SIL-high-medium_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SIL-high-medium_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,CLA-mod-medium_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,CLA-mod-medium_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,CLA-mod-medium_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,CLA-low-medium_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,CLA-low-medium_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,CLA-low-medium_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,CLA-low-shallow_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,CLA-low-shallow_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,CLA-low-shallow_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,CLA-high-medium_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,CLA-high-medium_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,CLA-high-medium_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-mod-0_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-mod-0_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-mod-0_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-high-0_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-high-0_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,SAN-high-0_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,MARL_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,MARL_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,MARL_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,GRAVEL_PIT_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,GRAVEL_PIT_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,GRAVEL_PIT_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,DIKE_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,DIKE_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,DIKE_C,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,CUT_FILL_A,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,CUT_FILL_B,_DEFAULT,1/d,,
SoilParameter,PERC_COEFF,CUT_FILL_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,[DEFAULT],0.02784434,1/d,0,5
SoilParameter,BASEFLOW_COEFF,SIL-mod-shallow_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SIL-mod-shallow_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SIL-mod-shallow_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-mod-shallow_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-mod-shallow_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-mod-shallow_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-high-shallow_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-high-shallow_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-high-shallow_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-high-medium_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-high-medium_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-high-medium_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SIL-high-shallow_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SIL-high-shallow_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SIL-high-shallow_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-low-medium_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-low-medium_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-low-medium_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-mod-medium_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-mod-medium_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-mod-medium_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SIL-mod-medium_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SIL-mod-medium_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SIL-mod-medium_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,CLA-mod-shallow_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,CLA-mod-shallow_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,CLA-mod-shallow_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SIL-low-shallow_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SIL-low-shallow_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SIL-low-shallow_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-low-shallow_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-low-shallow_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-low-shallow_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,URBAN_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,URBAN_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,URBAN_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SIL-low-medium_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SIL-low-medium_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SIL-low-medium_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-high-deep_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-high-deep_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-high-deep_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-mod-deep_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-mod-deep_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-mod-deep_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SIL-high-medium_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SIL-high-medium_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SIL-high-medium_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,CLA-mod-medium_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,CLA-mod-medium_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,CLA-mod-medium_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,CLA-low-medium_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,CLA-low-medium_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,CLA-low-medium_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,CLA-low-shallow_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,CLA-low-shallow_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,CLA-low-shallow_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,CLA-high-medium_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,CLA-high-medium_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,CLA-high-medium_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-mod-0_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-mod-0_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-mod-0_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-high-0_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-high-0_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,SAN-high-0_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,MARL_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,MARL_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,MARL_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,GRAVEL_PIT_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,GRAVEL_PIT_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,GRAVEL_PIT_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,DIKE_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,DIKE_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,DIKE_C,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,CUT_FILL_A,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,CUT_FILL_B,_DEFAULT,1/d,,
SoilParameter,BASEFLOW_COEFF,CUT_FILL_C,_DEFAULT,1/d,,
SoilParameter,HBV_BETA,[DEFAULT],6.481637,none,0,10
SoilParameter,HBV_BETA,SIL-mod-shallow_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,SIL-mod-shallow_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,SIL-mod-shallow_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-mod-shallow_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-mod-shallow_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-mod-shallow_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-high-shallow_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-high-shallow_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-high-shallow_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-high-medium_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-high-medium_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-high-medium_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,SIL-high-shallow_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,SIL-high-shallow_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,SIL-high-shallow_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-low-medium_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-low-medium_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-low-medium_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-mod-medium_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-mod-medium_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-mod-medium_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,SIL-mod-medium_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,SIL-mod-medium_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,SIL-mod-medium_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,CLA-mod-shallow_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,CLA-mod-shallow_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,CLA-mod-shallow_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,SIL-low-shallow_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,SIL-low-shallow_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,SIL-low-shallow_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-low-shallow_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-low-shallow_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-low-shallow_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,URBAN_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,URBAN_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,URBAN_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,SIL-low-medium_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,SIL-low-medium_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,SIL-low-medium_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-high-deep_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-high-deep_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-high-deep_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-mod-deep_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-mod-deep_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-mod-deep_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,SIL-high-medium_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,SIL-high-medium_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,SIL-high-medium_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,CLA-mod-medium_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,CLA-mod-medium_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,CLA-mod-medium_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,CLA-low-medium_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,CLA-low-medium_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,CLA-low-medium_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,CLA-low-shallow_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,CLA-low-shallow_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,CLA-low-shallow_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,CLA-high-medium_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,CLA-high-medium_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,CLA-high-medium_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-mod-0_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-mod-0_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-mod-0_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-high-0_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-high-0_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,SAN-high-0_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,MARL_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,MARL_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,MARL_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,GRAVEL_PIT_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,GRAVEL_PIT_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,GRAVEL_PIT_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,DIKE_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,DIKE_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,DIKE_C,_DEFAULT,none,,
SoilParameter,HBV_BETA,CUT_FILL_A,_DEFAULT,none,,
SoilParameter,HBV_BETA,CUT_FILL_B,_DEFAULT,none,,
SoilParameter,HBV_BETA,CUT_FILL_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,[DEFAULT],1.117983,none,0,10
SoilParameter,BASEFLOW_N,SIL-mod-shallow_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SIL-mod-shallow_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SIL-mod-shallow_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-mod-shallow_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-mod-shallow_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-mod-shallow_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-high-shallow_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-high-shallow_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-high-shallow_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-high-medium_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-high-medium_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-high-medium_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SIL-high-shallow_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SIL-high-shallow_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SIL-high-shallow_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-low-medium_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-low-medium_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-low-medium_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-mod-medium_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-mod-medium_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-mod-medium_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SIL-mod-medium_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SIL-mod-medium_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SIL-mod-medium_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,CLA-mod-shallow_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,CLA-mod-shallow_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,CLA-mod-shallow_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SIL-low-shallow_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SIL-low-shallow_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SIL-low-shallow_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-low-shallow_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-low-shallow_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-low-shallow_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,URBAN_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,URBAN_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,URBAN_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SIL-low-medium_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SIL-low-medium_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SIL-low-medium_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-high-deep_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-high-deep_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-high-deep_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-mod-deep_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-mod-deep_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-mod-deep_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SIL-high-medium_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SIL-high-medium_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SIL-high-medium_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,CLA-mod-medium_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,CLA-mod-medium_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,CLA-mod-medium_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,CLA-low-medium_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,CLA-low-medium_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,CLA-low-medium_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,CLA-low-shallow_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,CLA-low-shallow_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,CLA-low-shallow_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,CLA-high-medium_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,CLA-high-medium_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,CLA-high-medium_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-mod-0_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-mod-0_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-mod-0_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-high-0_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-high-0_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,SAN-high-0_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,MARL_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,MARL_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,MARL_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,GRAVEL_PIT_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,GRAVEL_PIT_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,GRAVEL_PIT_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,DIKE_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,DIKE_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,DIKE_C,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,CUT_FILL_A,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,CUT_FILL_B,_DEFAULT,none,,
SoilParameter,BASEFLOW_N,CUT_FILL_C,_DEFAULT,none,,
SoilParameter,POROSITY,[DEFAULT],0.8964571,none,0.1,0.9
SoilParameter,POROSITY,SIL-mod-shallow_A,_DEFAULT,none,,
SoilParameter,POROSITY,SIL-mod-shallow_B,_DEFAULT,none,,
SoilParameter,POROSITY,SIL-mod-shallow_C,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-mod-shallow_A,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-mod-shallow_B,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-mod-shallow_C,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-high-shallow_A,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-high-shallow_B,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-high-shallow_C,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-high-medium_A,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-high-medium_B,_DEFAULT,none,,
SoilParameter,POROSITY,SAN-high-medium_C,_DEFAULT,none,,
SoilParameter,POROSITY,SIL-high-shallow_A,_DEFAULT,none,,
SoilParameter,POROSITY,SIL-high-shallow_B,_DEFAULT,none,,
